Title,Author,Pub,Demo,Vols,Series,Sold,SaleVol,Run,Digi,Tele,No..Votes,No..Seen,Bayes..Estimate,Serielized,Plot,Genre,Themes
20th Century Boys (manga),Naoki Urasawa,2,1,22,7,36,1.63,0,0,0,621,1019,8.995718002,1999-2006,"Kenji and his friends start to notice a series of odd occurences related to their childhood. A mysterious cult-leader named ""friend"" is out to destroy the world, and it has something to do with Kenji's childhood memories.","drama , mystery , psychological","amnesia , coming of age , conspiracy"
Ace of Diamond (manga),Yuji Terajima,1,0,71,16,40,0.56,1,0,0,9,63,7.568561554,2006-present,"It is a manga of high school baseball. The main character, who is a pitcher from a country high school, accidentally gets teamed up with a catcher from a school with an elite baseball team. He decides to quit his school to attend the school that this catcher plays.....","comedy , drama , tournament","baseball , school , sports"
Ahiru no Sora (manga),Hinata Takeshi,1,0,51,15,24,0.47,0,0,0,4,41,7.354550362,2004-2019 ,"He’s short, weak, and has just transfered to a new school. Kurumatani Sora is the main character in this story who loves basketball. He has been shooting hoops ever since he was little and has been trying to grow tall just like his mother, who “used” to be a basketball player.","drama , tournament","basketball , school"
Ashita no Joe (manga),"Ikki Kajiwara, Tetsuya Chiba",1,0,20,5,25,1.25,0,0,0,25,58,8.544483185,1968-1973,"15 year old Joe Yabuki is a wondering orphan who stumbles across the worst slumps of Tokyo. There, he encounters a washed up boxer who wants to train Joe after he easily beats up some yakuza. However, Joe does not take the trainer, Tange, very seriously until they end up in jail for fighting the yakuza in the park. Joe then decides to live with Tange but does not show any appreciation to him at all. He then uses the neighborhood children to fake an orphanage fund and get money. Joe is then exposed and is forced 13 months of juvie. While in juvie, he meets a boxer impronsed for assault, Rikiishi Tooru, while making an escape. Rikiishi stops Joe's plan and it starts a rivalry that inspires Joe to take boxing not as a means to get revenge against Rikiishi, but to reform his life and pursue as a career.","drama , slice of life , tournament",sports
Assassination Classroom (manga),Yūsei Matsui,3,0,21,4,25,1.19,0,0,1,59,170,7.9710989,2012-2016,Kunugigaoka Middle School have a special class 3-E. Their sensei is a weird combination of ALIEN and octopus that moves at the speed of Mach-20 and the one who is responsible for destroying the half of the moon which now forever stays at crescent shape. The creature will teach the class 3-E to how to assassinate him before the end of the year when he will destroy the Earth.,"action , comedy , science fiction","alien , assassins , monsters"
Astro Boy (manga),Osamu Tezuka,0,0,23,16,100,4.35,0,0,1,78,287,6.905553341,1952-1968,"In the distant year 2003, Japan is a techonological utopia, and robots are everywhere. One such robot, Tobio, was built by the brilliant Dr. Tenma to replace his dead son. But when it soon becomes apparent that Tobio is an imperfect copy of his departed child, Dr. Tenma throws him out. He is rescued from the scrap heap by the benevolent Professor Ochanomizu, a crusader for robot cival rights. Now the little robot, renamed Astro Boy, is given a mission to defend Japan and the world from all manner of sinister threats. Using his seven super-abilities and 100,000 horsepower worth of strength to battle evil, Astro hopes to set an example to the world of the good which all robots are capeable of.","action , adventure , comedy",mecha
Attack on Titan (manga),Hajime Isayama,1,0,34,12,110,3.23,0,1,1,247,741,8.341571808,2009-2021,"Eren Jaeger lives in city surrounded by monolithic walls. Outside dwell human murdering Titans. For decades members of the Scouting Legion have been the only humans who dared to leave the safety of the walls and gather information on the Titans. Every time they return, many of them are dead. Freedom loving Eren has no greater wish than to join them.","action , fantasy , horror","apocalyptic , conspiracy , military"
Bad Boys (manga),Hiroshi Tanaka,0,1,22,8,55,2.5,0,0,0,1,4,-1,1988-1996,NA,action,action
Bastard!! (manga),Kazushi Hagiwara,3,0,27,24,30,1.11,0,0,1,109,326,6.957803726,1988-2012  ,"Modern civilization and the world was destroyed by the God of Destruction, Anthrasax, in 7 days, and then is sealed. Hundreds of years later, the sorcerer Dark Schneider leads a group in an attempt to control the world. Dark Schneider, in the end, is sealed in the body of a young baby, Rushe Ren Ren. 15 years later, his group, minus Scheider, attempts the same mission by unsealing Anthrasax so they can redo the world. To save the Kingdom of Metallicana, a girl named Yoko releases Dark Schneider from her friend Rushe. Now, Dark Schneider fights his former comrades, but not for good; he fights to protect Yoko, and to have some destructive fun.","adventure , fantasy , supernatural",gods
Berserk (manga),"Kentaro Miura, Kōji Mori, Studio Gaga",0,1,41,33,50,1.25,1,1,1,1408,2569,9.240950584,1989-present,"Guts, the Black Swordsman, wanders around in a mediaeval world slaying demons as they are attracted to a demonic mark on his neck. To his help he has inhuman strength gained from a harsh childhood lived with mercenaries, a gigantic sword, an iron prosthetic left hand, and the elf Puck. In his search for vengeance on the one who gave him the mark, he meets many interesting persons and creatures, all of whom are affected by him in one way or another.","action , drama , fantasy","death , demons , fighting"
Black Butler (manga),Yana Toboso,0,0,32,16,32,1,1,0,1,227,790,8.307471275,2006-present,"To what extent must a housekeeper do things to be acceptable. One of the noble families of England, Phantomhives butler Sebastian Michaels has got unquestionably perfect knowledge, manners, talent with materials, martial arts, et cetera: but is also able to serve a 12 year old master. Wearing a grey tailcoat, gracefully brewing the worlds strongest red tea, please read on to see how such a perfect butler copes with such a master...","action , comedy , mystery","bishounen , demons , historical"
Black Jack (manga),Osamu Tezuka,0,0,25,10,45.64,1.83,0,0,1,119,310,8.475663185,1973-1983,"Black Jack is the doctor Tezuka wished he could be, one free of the constraints of the modern rules, who can heal and help on his rules. He travels the world helping those who pay him, sometime those he takes mercy on, and always those who move him. Despite not having a valid license, he is still the doctor of last resort, the only man who keeps the reaper at bay. Sometimes though, he's the one who brings the reaper...","drama , horror , mystery",tragedy
Bleach (manga),Tite Kubo,3,0,74,15,130,1.75,0,0,1,1951,4792,8.011082649,2001-2016,"Bleach follows the adventures of Ichigo Kurosaki, a teenager with the ability to see spirits,who accidentally steals the powers of the Soul Reaper Rukia Kuchiki while saving his family and subsequently assumes her duties while she convalesces. Since that event, Ichigo has to fight hollows, evil spirits that attack people.In the process he makes new Friends with special abilities. After various events, Rukia is sentenced to death by her Soul Reapers' superiors for her actions, leading Ichigo to encounter them to save her life. He also encounters former Soul Reaper Sōsuke Aizen, who created an army of powerful hollow called arrancar to destroy the Soul Reapers organization, Soul Society.","action , supernatural","developing powers , fighting , shinigami"
Boys Over Flowers (manga),Yoko Kamio,3,2,37,11,61,1.64,0,0,1,296,833,7.737627029,1992-2003,"16 Year old Makino Tsukushi is 16-year old girl, from a mid-class family, who, due to her brains, gets into an ultra high-class school called Eitoku Gakuen. One day she accidentally gets on the F4’s, bad side *they’re a gang at school*, and from then on she suffers from hazing. She fights this back, and while doing so falls in love with one of the F4’s members. However, another one of the members also falls in love with her.","comedy , drama , romance",school
Buddha (manga),Osamu Tezuka,0,1,14,11,20,1.42,0,0,0,130,255,8.730014801,1972-1983,"In ancient India, the lives of the re plagued by drought, famine, constant warfare and the injustices of the strict caste system. The intertwining lives of many unhappy souls are drawn together by the birth of the young prince Siddhartha, who embarks on a spiritual journey, becomes Buddha, ""the Enlightened One,"" and attempts to bring about a spiritual rebirth of the people in this desperate age.","drama , supernatural","historical , religion"
Captain Tsubasa (manga),Yōichi Takahashi,3,0,96,41,80,0.83,1,0,0,31,85,6.993103027,1981-present,"11-year-old Tsubasa Ozora transfers to his new school where quickly he becomes the star of the school`s soccer team. His Brazilian coach, Roberto Hongo, notices the potential of the young athlete and soon offers him a chance to come with him to Brazil. Young Tsubasa trains more and more and with each passing game is more confident about his abilities. Old enemies become his friends and the World Cup seems closer and closer for him.",NA,tournament
Cat's Eye (manga),Tsukasa Hojo,3,0,18,3,20,1.11,0,0,0,16,54,7.288959503,1981-1984,"The protagonists of the series are the three Kisugi sisters - Hitomi, Rui and Ai - who run a café called Cat's Eye. The same sisters lead a double-life as a trio of highly skilled art thieves, leaving cards with a name 'Cat's Eye' at the scene of the crime. They steal works of art (mostly paintings) as clues that belongs to their long missing father- Heinz, a famous painter and art collector during the Nazi's reign. They hope by stealing his works, Heinz will contact them. Toshi, the police officer investigating this case is the fiancé of Hitomi. He also swears to capture and bring down the Cat's Eye Gang.",action,action
Chainsaw Man (manga),Tatsuki Fujimoto,3,0,12,4,20,1.66,1,0,1,45,86,8.086163521,2018-present,"Denji is a destitute young man who lives in a world filled with bloodthirsty monsters called Devils. One day, he befriends Pochita, who is a Devil dog-thing that is also a literal chainsaw. If that wasn't already a weird, things take a real turn when Denji is murdered by gangsters, and Pochita fuses with his soul to save his life. This turns the perpetually hungry and horny Denji into the titular Chainsaw Man, who ends up hunting other Devils for the enigmatic Makima, a woman who works for a governmental bureau of Devil Hunters, and strings Denji along with vague promises of sex and fortune, even as she treats him as little more than a dog himself.","action , comedy , drama","demons , gore , monsters"
Chameleon (manga),Atsushi Kase,1,0,47,9,30,0.63,0,0,1,1,1,-1,1990-1999,"Despite of his short stature and his cowardly personality, Eisaku Yazawa dreams of one day becoming a gang leader of a nation of thugs. As he starts middle school, he ends up meeting several delinquents who attend the same school as his.",comedy,"comedy , delinquents"
Chibi Maruko-chan (manga),Momoko Sakura,3,2,17,32,32.5,1.91,0,1,0,10,69,7.510428429,1986-2018,NA,NA,slice of life
Chihayafuru (manga),Yuki Suetsugu,1,2,50,15,27,0.53,0,0,0,18,71,8.264399529,2007-2022,NA,"drama , romance , tournament",school
City Hunter (manga),Tsukasa Hojo,3,0,35,6,50,1.42,0,0,0,65,177,7.641325951,1985-1991,"Ryo Saeba is a ""sweeper"" in the city of Tokyo. His works as a trouble shooter, cleaning the streets of vermin, and helping out desperate people. Sometimes he's a bodyguard, sometimes he's an assassin, whatever Ryo does he does it well. In fact his only flaw is his hormones—he loves the ladies and sometimes turns into an idiot when he's near them. Thankfully he's got people like his partner Kaori Makimura to keep him in check.","action , comedy , drama","assassins , crime , detectives"
Cooking Papa (manga),Tochi Ueyama,1,1,158,37,36,0.22,1,0,0,2,11,-1,1985-present,NA,NA,cooking
Crows (manga),Hiroshi Takahashi,0,0,26,8,46,1.76,0,0,0,21,77,7.750991821,1990-1998,NA,NA,NA
D.Gray-man (manga),Katsura Hoshino,3,0,27,18,25,0.92,1,0,0,592,1627,8.027653694,2004-present,"Akuma, monsters born from dead souls mistakenly recalled by their loved ones to the living world, are the weapons of the Millenium Earl, who is intent on the destruction of the world. Allen Walker has been cursed with an anti-Akuma weapon as his left arm and an eye that sees the former soul of the Akuma since his youth. He is also one of the few who contain ""Innocence"", a substance that allows him to kill Akuma and fight the Earl. With these powers, he joins the Black Priest Organization as an Exorcist and sets out with other Exorcists to stop the Earl's attempts to annihilate the human race.","adventure , drama , horror",monsters
Dear Boys (manga),Hiroki Yagami,1,0,81,33,45,0.55,1,0,0,10,100,6.769285679,1989-present,NA,NA,tournament
Death Note (manga),"Tsugumi Ohba, Takeshi Obata",3,0,12,3,30,2.5,0,0,0,2616,4996,8.832283974,2003-2006,"Shinigami own notebooks called “Death Notes” which are used as killing devices. Whoever’s name they write down in a death note will die within 40 seconds. Shinigami Ryuk dropped his Death Note in the human world where it’s found by honor high school student Light. With the death note actually having directions in it for its use, Light discovers he now has the power to discreetly kill people, and with this new power he plans to change the world in his ideal world by killing off criminals. Eventually the governments of the countries around the world notice the unusual amounts of deaths of their criminals, and figure out someone is behind them, but they have no way of discovering it themselves. That’s when they hire L, a master detective, to find out who is behind the murders.","drama , mystery , psychological","crime , death , detective"
Demon Slayer: Kimetsu no Yaiba (manga),Koyoharu Gotouge,3,0,23,4,150,6.52,0,1,1,38,86,7.925061226,2016-2020,"Since ancient times, rumors have abounded of man-eating demons lurking in the woods. Because of this, the local townsfolk never venture outside at night. Legend has it that a demon slayer also roams the night, hunting down these bloodthirsty demons. For young Tanjiro, these rumors will soon to become his harsh reality. Ever since the death of his father, Tanjiro has taken it upon himself to support his family. Although their lives may be hardened by tragedy, they've found happiness. But that ephemeral warmth is shattered one day when Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko, turned into a demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's request to fight demons and turn his sister human again.",NA,supernatural
Devilman (manga),Go Nagai,1,0,5,1,50,10,0,0,0,81,145,8.16817379,1972-1973,"During the Ice Age, demons, humanity's natural predator, were imprisoned in ice. Previously in hibernation, the demons are escaping in increasing numbers. Ryo Asuka's father was killed by demons after his archaeological explorations took him too close to the truth. After reading his father's notes, Ryo calls on the help of his best friend, Akira Fudo, to fight the demons. But only a demon can stand a chance against another, so Akira must let himself be possesed, but maintain control over the demon inside him. Akira, now as Devilman, must face the heightening onslaught of demon attacks to save humanity.","action , adventure , horror",demons
Doraemon (manga),Fujiko F. Fujio,2,2,51,27,250,4.71,0,0,1,71,191,8.141774178,1969-1996,"Nobita is an incredibly unlucky 4th grader. He is constantly yelled at by his teacher and his parents, always beat up by his friends, and never have any luck with the girl he likes. One New Year, a robot cat named Doraemon appears from the future in order to save Nobita from a terrible fate. Doraemon helps Nobita whenever he is in trouble with future equipments that Doraemon pulls out from his special pocket. As Nobita grows older he continues to be saved by Doraemon from the cursed fate he was born with.","action , comedy , science fiction","robots , time travel"
Dr. Slump (manga),Akira Toriyama,3,0,18,4,35,1.94,0,0,0,120,377,7.197386742,1980-1984,"The wacked-out misadventures of incompetent inventor Senbei Norimaki and his android ""daughter"" Arale. Senbei and Arale live in Penguin Village, a place where the sun eats ice cream, parodies of Superman and Tarzan(among others) live and piles of poop walk and talk.","action , comedy , science fiction",NA
Dragon Ball (manga),Akira Toriyama,3,0,42,11,350,8.33,0,0,1,773,1931,7.90558815,1984-1995,"Dragon Ball follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting Dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires which also includes foes from other planet.","action , comedy , drama","aliens , ,roids , martial arts"
Dragon Quest: The Adventure of Dai (manga),"Riku Sanjo, Koji Inada",3,0,37,7,47,1.27,0,0,0,59,143,7.913410187,1989-1996,"After the defeat of the demon lord Hadlar all of the monsters were unleashed from his evil will and moved to the island of Delmurin to live in peace. Dai is the only human living on the island. Having been raised by the kindly monster Brass, Dai's dream is to grow up to be a hero. He gets to become one when Hadlar is resurrected and the previous hero, Avan, comes to train Dai to help in the battle. But Hadlar, announcing that he now works for an even more powerful demon lord, comes to kill Avan. To save his students Avan uses a Self-Sacrifice spell to attack, but is unable to defeat Hadlar. When it seems that Dai and Avan's other student Pop are doomed a mark appears on Dai's forehead and he suddenly gains super powers and is able to fend off Hadlar. The two students then go off on a journey to avenge Avan and bring peace back to the world.","action , adventure , fantasy",NA
Emblem Take 2 (manga),"Kazumasa Kiuchi, Jun Watanabe",1,1,62,14,25,0.4,0,0,0,1,1,-1,1990-2004,NA,"action , comedy",mafia
Eyeshield 21 (manga),"Riichiro Inagaki, Yusuke Murata",3,0,37,7,20,0.54,0,0,0,280,675,8.186295509,2002-2009,"Kobayakawa Sena is a freshman in highschool. Despite his previous decisions to change his life, he finds himself in the exactly same place he was in during elementary school and junior high: a push over and an errand boy. However, this changes when Hiruma, the most feared person in his school and president of the American Football Club, notices Sena and forces him to join the Football Team. Now Sena will become Eyeshield 21, a mysterious running back with lighting fast speed.","comedy , tournament",sports
Fairy Tail (manga),Hiro Mashima,1,0,63,11,72,1.14,0,0,0,554,1423,7.951853752,2006-2017,"Lucy is a 17-year-old girl, who wants to join a mage guild to become a full-fledged mage. One day when visiting Harujion Town, she meets Natsu (and his talking cat Happy), a young man who is looking for the salamander and who helps her get out of a sticky situation. That’s when she find out that Natsu not only is a mage, but is also a member of one of the world’s most infamous mage guilds: Fairy Tail.","adventure , comedy , drama","developing powers , ecchi , fanservice"
Fire Force (manga),Atsushi Ohkubo,1,0,34,7,20,0.58,0,0,1,6,19,7.157700539,2015-2022,"In the year 198 of the Age of the Sun, Tokyo is a crowded cosmopolis. But the world's most populous city is threatened by devils that cause people to burst into flame at random. The only ones who can stop it are the Pyrofighters, a team of specialized firefighters. The young Shinra, blessed with the ability to ignite his feet and travel at the speed of a rocket, wants nothing more than to be a hero, and knows that this is the place for him. But he's not the best at following orders.",NA,supernatural
Fist of the North Star (manga),"Buronson, Tetsuo Hara",3,0,27,5,100,3.7,0,0,0,124,244,7.684425354,1983-1988,"After an apocalypse, the world is laid to waste. Bandits rule the land, and might makes right the world over. Justice is a dying concept, so a new kind of hero begins to show himself to the people. With his ""Fist of the North Star"" technique, the man named Kenshiro slaughters those who would do violence upon the innocent. He journeys to violently set justice back in the world, and dreams of one day refinding his beloved Julia.","action , adventure",gore
Flame of Recca (manga),Nobuyuki Anzai,2,0,33,7,25,0.75,0,0,0,251,668,7.674072266,1995-2002,"Recca is a ninja. At least in his own mind. When he one day meets and saves the young girl Yanagi he pledges to be her ninja, defending her with his life. She shows him that she has the power of healing and in return he shows her his secret power of creating fire with his hands. But soon evil powers start reaching for them. Some wanting Recca’s ability to use fire and others wanting eternal life through experiments with Yanagi’s body, something that Recca and his friends definitely can’t allow.","adventure , comedy , drama","fighting , special abilities"
Food Wars! Shokugeki no Soma (manga),"Yūto Tsukuda, Shun Saeki",3,0,36,7,20,0.55,0,0,0,35,111,7.678319931,2012-2019,"On a mission to explore all aspects of the culinary world from the divinely decadent to the unbearably grotesque, Sōma Yukihira’s ultimate goal is to become a chef that can surpass his father. He’s shocked one day when his dad decides to close up the family shop for the next few years and send him to a prestige cooking school in the mean time. However, there is a catch – only less than 10% of the students graduate from this elite institution, and his father says any dream of beating him will be a joke if Sōma can’t succeed.","comedy , drama , tournament","ecchi , school"
Fruits Basket (manga),Natsuki Takaya,0,2,23,8,30,1.3,0,0,0,1625,3748,8.743954659,1998-2006,"Tohru Honda is 16 year old orphaned girl who gets invited to live in the house of her classmate, the handsome boy Sohma Yuki, and his cousins, 16 year old Kyo and 27 year old Shigure. However, these young men and parts of the rest of their family (both close and distant) hold a curse; if they are hugged by the opposite gender, they transform into animals of the Chinese Zodiac. Everyday is an adventure for sweet Tohru, as she gets to know all of the very different members of the Sohma family better (especially Yuki and Kyo), in both common and bizarre situations. But, the Sohma family curse is certainly no laughing matter... it also holds horrible cruelity and heartbreak.","comedy , drama , romance","family , folklore"
Fullmetal Alchemist (manga),Hiromu Arakawa,0,0,27,9,80,2.96,0,0,1,1624,3541,8.966804504,2001-2010,"When two brothers, Edward and Alphonse Elric tried to revive their mother using Alchemy, something went drastically wrong. Edward lost his leg and his arm, and Alphonse lost his entire body. Now, a few years later, Edward becomes what's known as a ""State Alchemist"" or a Nationally recognized Alchemist. Along with Alphonse, who's spirit has been put into a metal suit of armor, and his Automail leg and arm, the two brothers set out to find a way to restore themselves.","adventure , comedy , drama","alchemy , conspiracy , death"
Gaki Deka (manga),Tatsuhiko Yamagami,0,0,26,6,30,1.15,0,0,0,1,3,-1,1974-1980,NA,comedy,comedy
Gantz (manga),Hiroya Oku,3,1,37,13,24,0.64,0,0,0,674,1332,8.266497612,2000-2013,"Somewhere in Tokyo, there is a room. In that room is a black sphere. Periodically, people who should otherwise have died are transferred to the room. There, the sphere gives them special suits and weapons, and sends them out on a mission to kill aliens here on Earth. While these missions take place, the rest of the world is largely oblivious to them. These missions are lethal - few participants survive them. The sphere calls the shots, and it's not the slightest bit nice. Its name... Gantz.","adventure , drama , fantasy","aliens , death , ecchi"
Gin Tama (manga),Hideaki Sorachi,3,0,77,16,55.5,0.72,0,0,0,139,490,7.96088028,2003-2019,"Sakata Gintoki is a broke samurai living in an era when samurai are no longer needed. To add to his troubles, oppressive aliens called Amanto have moved into town. Gintoki lives with Kagura and Shinpachi, taking on odd jobs to make the world a better place... and to pay their rent.","action , comedy , science fiction",historical
Golden Kamuy (manga),Satoru Noda,3,1,31,8,23,0.74,0,0,0,15,31,7.909973145,2014-2022,"In the early twentieth century, Russo-Japanese War veteran Saichi “Immortal” Sugimoto scratches out a meager existence during the postwar gold rush on the wild frontier of Hokkaido. When he stumbles across a map to a fortune in hidden Ainu gold, he sets off on a treacherous quest to find it. But Sugimoto is not the only interested party, and everyone who knows about the gold will kill to possess it. Faced with the harsh conditions of the northern wilderness, ruthless criminals and rogue Japanese soldiers, Sugimoto will need all his skills and luck—and the help of an Ainu girl named Asirpa—to survive.","adventure , comedy , mystery","cooking , historical , war"
Golgo 13 (manga),"Takao Saito, Saito Production",2,1,205,54,300,1.46,1,0,1,24,64,7.211229324,1968-present,"Duke Togo, or as he is more widely known, ""Golgo 13"", is a M16 bearing assassin who will take on any job for the right price. Anyone can hire him, including private citizens and world governments. If he's not bedding women he's infiltrating a hostile country, waiting hours for the perfect shot in the most extreme conditions. Golgo 13 is just as adept in the urban jungle. Those who deal with him must make sure not to cross the Duke or they might find themselves the target of his rifle.","action , drama","assassins , military , police"
H2 (manga),Mitsuru Adachi,2,0,34,7,55,1.61,0,0,0,92,171,8.365979195,1992-1999,"Kunimi Hiro and his best friend Hideo were baseball wonders... Until Hiro found out his arm was permanently damaged, rendering him unable to play anymore. A frustrated Hiro goes through the trouble of specifically finding a high school with no baseball team... Only to later on find out the doctor who examined him was a quack and his arm is perfectly fine. Hiro is quick to reinstate his dream: Creating a baseball team for his school and getting to face off against Hideo in the Koshien... The number one premier league for high school baseball.","comedy , drama , romance","baseball , love triangle , sports"
Haikyu!! (manga),Haruichi Furudate,3,0,45,8,55,1.22,0,0,0,24,89,8.194371223,2012-2020,"After losing his first and only basketball game in junior school, Hinata Shouyou joins his dream high school volleyball team at Karasuno High School. He and his teammates train to defy their 'fallen powerhouse' reputation.",NA,"school , tournament"
Hajime no Ippo (manga),George Morikawa,1,0,134,33,100,0.74,1,0,0,178,417,8.757658005,1989-present,"Makunouchi Ippo is always busy with his night fishing job, and gets bullied a lot. After some inspiration from magazines, videos, and boxers, he decided to take up boxing. Boxing changed Ippo's life, and now his dream is to become pro and fight in matches.","action , comedy , drama",sports
Hayate the Combat Butler (manga),Kenjiro Hata,2,0,52,13,20,0.38,0,0,0,172,534,7.996829987,2004-2017,"With a debt of 1.5 million, 16-year old Hayate Ayasaki's parents sell him to the yakuza to pay it off. Not wanting to be cut up and sold on the black market, Hayate escapes from the yakuza thugs, and finds a very rich girl by the name of Nagi wandering in a park at night. Deciding to kidnap the girl for ransom money, Hayate's kidnapping speech was wrongly taken as a confession of love to Nagi. She finds out about the debt, and, feeling sorry for Hayate, pays it off, as long as Hayate will be her butler until he pays off the 1.5 million (which will take about 40 years).","action , comedy , drama","ecchi , fanservice , harem"
Hikaru no Go (manga),"Yumi Hotta, Takeshi Obata",3,0,23,5,25,1.08,0,0,0,562,1341,8.164961815,1998-2003,"Hikaru Shindo is just a normal 12 year old Japanese boy. One day, he's rumaging through his Grandfather's things to see if he can find something to sell and pulls out an old Go board. A ghostly apparation appears out of the board and tells Hikaru his sad story. His name is Sai Fujiwara, a man who was a Go instructor to the emperor of Japan a thousand years ago. However, because of bad sportsmanship during a game, Sai was accused of cheating and banashied from the city. With no livelihood or any other reason to live, Sai commited suicide by drowning himself. Now, he haunts a Go board, and wants to accomplish the perfect Go game, called the ""Hand of God"" which he hopes to do through Hikaru. If Hikaru will be able to do it or not (or even wants to) will have to be seen.","drama , supernatural , tournament",ghosts
Hoshin Engi (manga),Ryu Fujisaki,3,0,23,4,22,0.95,0,0,0,90,235,7.404383659,1996-2000,"Thousands of years ago, it was a time of witchcraft and dark magic. An evil sorceress has bewitched the emperor of the mighty dynasty and he has become a mindless puppet. The country is in shambles and evil spirits lurk everywhere. The human world is on the verge of utter destruction. A bold mission is planned by the Confederation of the Immortal Masters. They send a young master wizard to hung down the villains and evil warlocks in the devastated lands.","action , comedy , fantasy",historical
Initial D (manga),Shuichi Shigeno,1,1,48,18,56,1.16,0,0,0,92,319,7.504245758,1995-2013,High school student Takumi Fujiwara works as a gas station attendant during the day and a delivery boy for his father's tofu shop during late nights. Little does he know that his precise driving skills and his father's modified Toyota Sprinter AE86 Trueno make him the best amateur road racer on Mt. Akina's highway.,"drama , tournament",auto racing
Inuyasha (manga),Rumiko Takahashi,2,0,56,12,50,0.89,0,0,0,797,2219,7.282645226,1996-2008,"Kagome is your average schoolgirl living in present day Tokyo. She was brought though an ancient well by a demon to the past. There she finds out that she is the reincarnation of a deceased priestess who guarded the powerful Shikon jewel, which has the power to fufill any ambition of man or demon. The jewel was reborn into her body. After saving the jewel from one of the many demons after the jewel, it shattered, and the Shikon shards were scattered across Japan. Now, Kagome must team up with the half-demon Inu-Yasha, who stole the jewel 50 years ago to be stopped by Kagome's previous form, to retrieve the shards before they fall into the wrong hands.","adventure , comedy , romance","bishounen , demons , historical"
Itazura na Kiss (manga),Kaoru Tada,3,2,23,9,35,1.52,0,0,0,41,157,7.10784626,1990-1999,"It was love at first sight for Kotoko Aihara as top student Naoki Irie delivers a speech on the first day of high school. After 2 years of secret admiration, ""I don't want it"" is the rejection she gets when she plucks up enough courage to hand him a love letter. Dejected, Kotoko vows to give him up. By a twist of fate, Kotoko's house collapses; her dad and her put up at a friend's place, who happens to be Naoki's father. And thus, life with Naoki begins and Kotoko's love for Naoki rekindles again.","comedy , drama , romance",NA
Jigoku Sensei Nube (manga),"Shō Makura, Takeshi Okano",3,0,70,29,25,0.35,1,0,0,17,85,7.361418724,1993-present,"Nube is a grade-school teacher with a demon hand which he uses to protect his students from all sorts of evil creatures. Nube fights everything from urban legends and aliens to mythological creatures, all whilst trying to catch the eye of his crush and fellow teacher.","action , comedy , horror",demons
